,#,Company,Symbol,Portfolio%,Price,Chg,% Chg
332,333,"Ptc, Inc",PTC,0.05%,153.14,0.31,(0.20%)
333,334,Garmin Ltd,GRMN,0.05%,119.53,0.40,(0.34%)
334,335,Iron Mountain Inc.,IRM,0.05%,62.52,0.49,(0.79%)
335,336,"Nasdaq, Inc.",NDAQ,0.05%,53.74,0.20,(0.37%)
336,337,"Expedia Group, Inc.",EXPE,0.05%,133.56,3.74,(2.88%)
337,338,Baxter International Inc.,BAX,0.05%,35.62,0.17,(0.49%)
338,339,"Ventas, Inc.",VTR,0.05%,44.42,-0.23,(-0.52%)
339,340,Hologic Inc,HOLX,0.05%,72.59,-0.04,(-0.06%)
340,341,Factset Research Systems,FDS,0.05%,462.43,-1.85,(-0.40%)
341,342,Expeditors International of Washington Inc.,EXPD,0.05%,118.04,0.23,(0.19%)
342,343,"Fleetcor Technologies, Inc.",FLT,0.05%,231.67,-0.32,(-0.14%)
343,344,"Tyler Technologies, Inc.",TYL,0.05%,418.60,0.92,(0.22%)
344,345,Steel Dynamics Inc,STLD,0.05%,111.09,1.21,(1.10%)
345,346,"Centerpoint Energy, Inc.",CNP,0.05%,27.75,0.09,(0.33%)
346,347,Jacobs Solutions Inc.,J,0.05%,134.12,1.02,(0.77%)
347,348,Akamai Technologies Inc,AKAM,0.05%,111.76,0.39,(0.35%)
348,349,Clorox Company,CLX,0.05%,139.65,0.60,(0.43%)
349,350,"Brown & Brown, Inc.",BRO,0.05%,73.02,-0.18,(-0.25%)
350,351,"The Cooper Companies, Inc.",COO,0.04%,339.83,-0.75,(-0.22%)
351,352,Atmos Energy Corporation,ATO,0.04%,113.83,-0.22,(-0.19%)
352,353,"Everest Group, Ltd.",EG,0.04%,401.40,2.09,(0.52%)
353,354,Cms Energy Corporation,CMS,0.04%,57.59,0.09,(0.15%)
354,355,"Netapp, Inc",NTAP,0.04%,77.61,0.82,(1.07%)
355,356,"Mccormick & Company, Incorporated Non-Vtg Cs",MKC,0.04%,65.84,-0.21,(-0.31%)
356,357,"Alexandria Real Estate Equities, Inc.",ARE,0.04%,103.45,-0.36,(-0.35%)
357,358,"First Solar, Inc.",FSLR,0.04%,153.77,-0.74,(-0.48%)
358,359,Ball Corporation,BALL,0.04%,51.90,0.03,(0.06%)
359,360,Veralto Corporation,VLTO,0.04%,70.49,-0.39,(-0.55%)
360,361,Las Vegas Sands Corp.,LVS,0.04%,49.10,-0.02,(-0.04%)
361,362,Bunge Limited,BG,0.04%,106.90,0.92,(0.87%)
362,363,"Principal Financial Group, Inc.",PFG,0.04%,72.18,0.70,(0.97%)
363,364,Cincinnati Financial Corp,CINF,0.04%,101.34,0.26,(0.26%)
364,365,Waters Corp,WAT,0.04%,265.43,-0.77,(-0.29%)
365,366,Illumina Inc,ILMN,0.04%,93.45,-1.75,(-1.84%)
366,367,Huntington Bancshares Inc,HBAN,0.04%,10.98,0.07,(0.68%)
367,368,"Axon Enterprise, Inc.",AXON,0.04%,223.74,0.98,(0.44%)
368,369,"Cf Industries Holding, Inc.",CF,0.04%,79.40,-0.71,(-0.89%)
369,370,Northern Trust Corp,NTRS,0.04%,75.15,0.51,(0.68%)
370,371,Hubbell Incorporated,HUBB,0.04%,295.47,5.88,(2.03%)
371,372,"Walgreens Boots Alliance, Inc",WBA,0.04%,21.01,0.26,(1.23%)
372,373,Omnicom Group Inc.,OMC,0.04%,77.60,0.63,(0.81%)
373,374,Marathon Oil Corporation,MRO,0.04%,25.33,0.58,(2.36%)
374,375,"Textron, Inc.",TXT,0.04%,77.51,0.72,(0.93%)
375,376,Avery Dennison Corp.,AVY,0.04%,189.96,0.79,(0.42%)
376,377,Regions Financial Corp.,RF,0.04%,16.17,0.09,(0.58%)
377,378,Quest Diagnostics Inc.,DGX,0.04%,134.96,0.03,(0.02%)
378,379,Eqt Corp,EQT,0.04%,40.23,0.18,(0.46%)
379,380,Skyworks Solutions Inc,SWKS,0.04%,93.31,-0.06,(-0.07%)
380,381,Albemarle Corporation,ALB,0.04%,124.07,1.47,(1.19%)
381,382,Idex Corporation,IEX,0.04%,198.48,0.89,(0.45%)
382,383,Jb Hunt Transport Services Inc,JBHT,0.04%,178.08,-0.59,(-0.33%)
383,384,Southwest Airlines Co.,LUV,0.04%,24.39,0.10,(0.41%)
384,385,Western Digital Corp.,WDC,0.04%,46.38,0.37,(0.79%)
385,386,Snap-on Incorporated,SNA,0.04%,276.96,2.24,(0.82%)
386,387,Carnival Corporation,CCL,0.04%,14.80,-0.01,(-0.06%)
387,388,Align Technology Inc,ALGN,0.04%,205.17,2.05,(1.01%)
388,389,Seagate Technology Holdings Plcs,STX,0.04%,75.76,0.17,(0.23%)
389,390,"Epam Systems, Inc.",EPAM,0.04%,258.24,2.29,(0.90%)
390,391,Packaging Corp of America,PKG,0.04%,156.08,0.59,(0.38%)
391,392,"Leidos Holdings, Inc.",LDOS,0.04%,105.48,0.81,(0.77%)
392,393,"Mid-America Apartment Communities, Inc.",MAA,0.04%,121.59,-0.21,(-0.17%)
393,394,"Teradyne, Inc.",TER,0.04%,91.34,0.60,(0.66%)
394,395,W.R. Berkley Corporation,WRB,0.04%,70.23,0.46,(0.66%)
395,396,"Stanley Black & Decker, Inc.",SWK,0.04%,90.78,0.68,(0.76%)
396,397,"Tyson Foods, Inc.",TSN,0.04%,48.15,-0.18,(-0.37%)
397,398,Kellanova,K,0.04%,52.20,-0.00,(-0.01%)
398,399,Amcor Plcs,AMCR,0.04%,9.31,0.03,(0.27%)
399,400,"Essex Property Trust, Inc",ESS,0.04%,210.85,-0.72,(-0.34%)
400,401,Pool Corporation,POOL,0.04%,349.58,2.21,(0.64%)
401,402,"Lamb Weston Holdings, Inc.",LW,0.04%,95.05,-0.65,(-0.68%)
402,403,Domino's Pizza Inc.,DPZ,0.04%,372.56,-2.18,(-0.58%)
403,404,"Best Buy Company, Inc.",BBY,0.04%,68.02,1.27,(1.90%)
404,405,"Conagra Brands, Inc.",CAG,0.04%,28.09,0.01,(0.04%)
405,406,Masco Corporation,MAS,0.04%,59.81,0.44,(0.75%)
406,407,"United Airlines Holdings, Inc.",UAL,0.03%,39.63,0.35,(0.90%)
407,408,"Citizens Financial Group, Inc.",CFG,0.03%,27.37,0.29,(1.06%)
408,409,Celanese Corporation,CE,0.03%,128.87,1.00,(0.78%)
409,410,"Enphase Energy, Inc.",ENPH,0.03%,89.32,-1.35,(-1.49%)
410,411,Live Nation Entertainment Inc.,LYV,0.03%,89.57,0.47,(0.53%)
411,412,Nordson Corp,NDSN,0.03%,232.53,0.81,(0.35%)
412,413,Synchrony Financial,SYF,0.03%,29.39,0.48,(1.66%)
413,414,Alliant Energy Corporation,LNT,0.03%,49.43,-0.05,(-0.11%)
414,415,The Mosaic Company,MOS,0.03%,36.35,-0.43,(-1.17%)
415,416,Loews Corporation,L,0.03%,67.37,0.31,(0.47%)
416,417,"Host Hotels & Resorts, Inc.",HST,0.03%,17.19,0.12,(0.73%)
417,418,Lkq Corporation,LKQ,0.03%,45.21,0.16,(0.35%)
418,419,Insulet Corporation,PODD,0.03%,174.92,0.16,(0.09%)
419,420,International Paper Co.,IP,0.03%,33.57,-0.05,(-0.15%)
420,421,"The Interpublic Group of Companies, Inc.",IPG,0.03%,29.94,0.11,(0.38%)
421,422,Kimco Realty Corp.,KIM,0.03%,18.77,-0.01,(-0.03%)
422,423,"Evergy, Inc.",EVRG,0.03%,50.33,-0.00,(-0.01%)
423,424,Apa Corporation,APA,0.03%,36.41,0.56,(1.55%)
424,425,Mgm Resorts International,MGM,0.03%,39.79,-0.42,(-1.04%)
425,426,Keycorp,KEY,0.03%,12.16,0.08,(0.70%)
426,427,Aes Corporation,AES,0.03%,17.04,0.13,(0.77%)
427,428,The J.M. Smucker Company,SJM,0.03%,111.45,0.18,(0.17%)
428,429,Viatris Inc.,VTRS,0.03%,9.22,0.05,(0.49%)
429,430,Henry (Jack) & Associates,JKHY,0.03%,154.13,0.72,(0.47%)
